COURSE PER BUILDING REPORT,,,,,,,,
UNIVERSITY OF SAN CARLOS,,,,,,,,
PERIOD: 2nd SEMESTER SY 2018 - 2019,,,,,,,,
,,,,,,,,
COURSE TITLE,COURSE DESCRIPTION,GROUP #,ENROLLED STUDENTS,,COURSE STATUS,SCHEDULE,,
DES 9,ARCHITECTURAL DESIGN 9,4,0,,REGULAR,MW (02:30 PM) - (05:30 PM) 1B10b               F (02:30 PM) - (06:30 PM) 1B10b               ,,
DISRE 01,DISASTER READINESS AND RISK REDUCTION,1,40,,BLOCKSECTION,TTh (01:30 PM) - (03:00 PM) AFCB4TC             ,,
DISRE 01,DISASTER READINESS AND RISK REDUCTION,13,40,,BLOCKSECTION,MWF (01:00 PM) - (02:00 PM) AF211TC             ,,
ECON 1N,PRINCIPLES OF ECONOMICS WITH AGRARIAN REFORM,1,45,,REGULAR,TTh (04:30 PM) - (06:00 PM) AF3B02              ,,
ECON 1N,PRINCIPLES OF ECONOMICS WITH AGRARIAN REFORM,2,45,,REGULAR,MW (05:30 PM) - (07:00 PM) AF209               ,,
ENGGSC 1,MECHANICS (STATICS OF RIGID BODIES),1,19,,PETITION,Sat (10:30 AM) - (01:30 PM) AFCB4TC             ,,
ENGGSC 2,STRENGTH OF MATERIALS,2,19,,PETITION,MW (04:30 PM) - (06:00 PM) 1B12E               ,,
ENGGSC 2,STRENGTH OF MATERIALS,1,46,,REGULAR,MW (04:30 PM) - (06:00 PM) AF3B02              ,,
ENGGSCI 3,THEORY OF STRUCTURES,3,0,,DISSOLVED,TTh (09:00 AM) - (10:30 AM) 1B12b               ,,
ENGGSCI 3,THEORY OF STRUCTURES,1,20,,PETITION,TTh (09:00 AM) - (10:30 AM) AF102               ,,
ENGGSCI 3,THEORY OF STRUCTURES,2,27,,REGULAR,TTh (10:30 AM) - (12:00 PM) AF209               ,,
ENGL 2,COMMUNICATION ARTS II,2,7,,PETITION,Sat (09:00 AM) - (12:00 PM) AF103TC             ,,
ES 12A,ENGINEERING GRAPHICS 1,1,1,,TUTORIAL,T (01:30 PM) - (04:30 PM) AF307TC             ,,
FA 112,GRAPHICS 1,1,3,,TUTORIAL,Sat (01:30 PM) - (04:30 PM) AF306TC             Sat (04:30 PM) - (06:30 PM) AF306TC             ,,
FA 122Y,"PERSPECTIVE, SHADES & SHADOWS",1,6,,PETITION,T (08:00 AM) - (01:00 PM) AF306TC             ,,
FA 316,PRINTMAKING 1,1,7,,PETITION,M (01:30 PM) - (05:30 PM) AF1B03TC            ,,
FA 324,ART THEORY AND CRITICISM 2,1,8,,PETITION,F (08:30 AM) - (11:30 AM) AF208               ,,
FA 326,PRINTMAKING 2,1,14,,PETITION,F (01:30 PM) - (05:30 PM) AF1B03TC            ,,
FD 310,EVOLUTION OF PHILIPPINE COSTUMES,1,5,,TUTORIAL,W (01:30 PM) - (03:30 PM) AF213TC             ,,
FD 415,LINE DEVELOPMENT,1,2,,TUTORIAL,T (12:30 PM) - (05:30 PM) AF214TC             ,,
FD 431,WORKSHOP 1,1,2,,TUTORIAL,W (08:30 AM) - (12:30 PM) AF214TC             W (01:30 PM) - (05:30 PM) AF214TC             ,,
FD 441,WORKSHOP 2,1,33,,REGULAR,M (08:30 AM) - (12:30 PM) AF214TC             M (01:30 PM) - (05:30 PM) AF214TC             ,,
FD 443,CAD FOR FASHION DESIGN,1,2,,TUTORIAL,Th (01:30 PM) - (05:30 PM) AF109A              ,,
FD 446,INTERNSHIP LAB.,1,14,,PETITION,F (08:30 AM) - (12:30 PM) AF214TC             F (01:30 PM) - (05:30 PM) AF214TC             ,,
FIL 02,PAGBASA AT PAGSUSURI SA IBA’T IBANG URI NG TEKSTO TUNGO SA PANANALIKSIK,1,40,,BLOCKSECTION,MWF (02:00 PM) - (03:00 PM) AFCB4TC             ,,
FIL 02,PAGBASA AT PAGSUSURI SA IBA’T IBANG URI NG TEKSTO TUNGO SA PANANALIKSIK,13,2,,DISSOLVED,TTh (07:30 AM) - (09:00 AM) AF211TC             ,,
FILI 2,FILIPINO SA IBA'T-IBANG LARANGAN,1,8,,PETITION,MWF (07:30 AM) - (08:30 AM) AF210TC             ,,
GIS LA1,ADVANCED COMMUNICATION TECHNIQUES/GEOGRAPHIC INFORMATION SYSTEM (GIS),1,1,,TUTORIAL,F (07:30 AM) - (12:30 PM) AF110               ,,
HIST 1,HISTORY OF ARCHITECTURE 1,1,0,,DISSOLVED,MWF (10:30 AM) - (11:30 AM) AF102               ,,
HIST 15,EARLY & MODERN PHILIPPINE HISTORY,2,0,,DISSOLVED,MWF (08:30 AM) - (09:30 AM) AF102               ,,
HIST 15,EARLY & MODERN PHILIPPINE HISTORY,4,0,,DISSOLVED,TTh (03:00 PM) - (04:30 PM) AF3B02              ,,
