Date/Time,AF305DAYLIGHTCONTROL:Daylighting Reference Point 1 Illuminance [lux](Hourly),AF305DAYLIGHTCONTROL:Daylighting Reference Point 2 Illuminance [lux](Hourly),Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 04/05  11:00:00,559.2142151806502,375.89134893087199,122878.0781166834 
 04/05  12:00:00,495.8109851992612,335.66672653708067,126177.21669402889 
 04/05  13:00:00,450.318640271462,301.7060096954035,125532.76283324056 
 04/05  14:00:00,426.7291438149393,278.6419066278975,133503.62338162194 
 04/05  15:00:00,418.0582573943725,265.2379527062098,142967.9269184188 
 04/05  16:00:00,355.3878370597524,221.81465697136535,134015.5291983291 
 04/05  17:00:00,223.10406142542389,137.55537655084064,110788.54857918527 
 04/05  18:00:00,36.15208416012535,22.042726781066109,42346.64756973669 
 04/05  19:00:00,0.0,0.0,23947.355176436686 
 04/05  20:00:00,0.0,0.0,15267.964829295966 
 04/05  21:00:00,0.0,0.0,12708.102584543985 
 04/05  22:00:00,0.0,0.0,7682.12587061727 
 04/05  23:00:00,0.0,0.0,7653.104916101045 
 04/05  24:00:00,0.0,0.0,7634.598696238353 
 04/06  01:00:00,0.0,0.0,7625.179768105688 
 04/06  02:00:00,0.0,0.0,7618.889699077948 
 04/06  03:00:00,0.0,0.0,7597.426476797266 
 04/06  04:00:00,0.0,0.0,7548.886773211376 
 04/06  05:00:00,0.0,0.0,7485.825881818957 
 04/06  06:00:00,17.013231692150869,11.220204897689309,7449.124797341683 
 04/06  07:00:00,137.88225871476076,90.85986483358471,7450.465955506746 
 04/06  08:00:00,338.7182507773744,218.26169915594526,7474.737940423714 
 04/06  09:00:00,503.8109904770574,326.4394014565102,35956.48342293856 
 04/06  10:00:00,547.4005793354853,360.0972024913224,51352.47221344148 
 04/06  11:00:00,506.63821036636389,339.2400371077652,60621.048274748966 
 04/06  12:00:00,469.6414677661678,316.63393476521227,55138.437680389885 
 04/06  13:00:00,443.72186423025638,296.95764899535558,52192.711855425325 
 04/06  14:00:00,425.7654454508475,278.01255396565406,49848.65273448834 
 04/06  15:00:00,424.5671367446025,269.3448842400793,52034.925458920865 
 04/06  16:00:00,354.3666908536804,221.37327036337306,47509.76770385703 
 04/06  17:00:00,207.07653635334575,128.75447467354523,39382.613057100614 
 04/06  18:00:00,31.71123377145909,19.528719587401839,33845.28979320211 
 04/06  19:00:00,0.0,0.0,26582.167819912316 
 04/06  20:00:00,0.0,0.0,13383.764835851673 
 04/06  21:00:00,0.0,0.0,12264.138563217653 
 04/06  22:00:00,0.0,0.0,7662.735566064662 
 04/06  23:00:00,0.0,0.0,7597.73928287631 
 04/06  24:00:00,0.0,0.0,7574.298391116669 
 04/07  01:00:00,0.0,0.0,7560.475880529403 
 04/07  02:00:00,0.0,0.0,7547.634280787076 
 04/07  03:00:00,0.0,0.0,7539.916197649388 
 04/07  04:00:00,0.0,0.0,7535.333934428411 
 04/07  05:00:00,0.0,0.0,7525.723294710825 
 04/07  06:00:00,54.5092736836342,32.55379144664051,7549.937769411009 
 04/07  07:00:00,428.8523934601687,282.013328992429,7624.902703043466 
 04/07  08:00:00,764.2749014498877,488.9486328570981,7710.1160756853205 
 04/07  09:00:00,889.8619525913933,568.7029733165841,7772.890938162834 
 04/07  10:00:00,829.6440298954477,541.6566125709561,7800.206119326529 
 04/07  11:00:00,684.3665363773547,459.8363980191652,7815.203200075429 
 04/07  12:00:00,492.3581061718601,340.6734955940893,7820.814033355596 
 04/07  13:00:00,485.1522681012154,329.4544691645036,7828.207749242089 
 04/07  14:00:00,549.2753279456815,355.94961101788479,7840.745044653111 
 04/07  15:00:00,542.5086931122913,338.6851305084057,7857.974483517347 
 04/07  16:00:00,427.81322540153698,262.0797216102038,7873.365165584318 
 04/07  17:00:00,241.78181045593275,147.76653482906216,7880.5202471969415 
 04/07  18:00:00,44.23688802865382,26.472271663958627,7869.497157890775 
 04/07  19:00:00,0.0,0.0,7850.596306254359 
 04/07  20:00:00,0.0,0.0,7829.171955880512 
 04/07  21:00:00,0.0,0.0,7812.133024307987 
 04/07  22:00:00,0.0,0.0,7782.926581949935 
 04/07  23:00:00,0.0,0.0,7751.009567804377 
 04/07  24:00:00,0.0,0.0,7720.76106547319 
 04/08  01:00:00,0.0,0.0,7706.797917945078 
 04/08  02:00:00,0.0,0.0,7691.503428469286 
 04/08  03:00:00,0.0,0.0,7664.50802489915 
 04/08  04:00:00,0.0,0.0,7629.395428431202 
 04/08  05:00:00,0.0,0.0,7588.795913110281 
 04/08  06:00:00,51.91838374071321,31.32177532237883,7578.236748594622 
 04/08  07:00:00,396.1437927970146,262.6772244082501,7613.6682887648485 
 04/08  08:00:00,664.2713280077818,430.44621823455858,20626.49237776832 
 04/08  09:00:00,766.3806143549797,495.6452907420442,147292.97727013034 
 04/08  10:00:00,725.9566416401921,477.6136536423398,157358.43215677053 
 04/08  11:00:00,545.099906349575,370.0530819023102,163236.5624015936 
 04/08  12:00:00,379.78132872576756,268.0271576645154,165771.55305646148 
 04/08  13:00:00,429.1304083092236,293.6097613018316,157131.63404393855 
 04/08  14:00:00,519.7756614930701,336.82188463768167,148344.3926786267 
